image_id,path,height,width,viewpoint,date,timestamp,whale_id,encounter_id
train0000,images/train0000.jpg,463,150,top,2017-08-07,2017-08-07 20:38:36,whale000,whale000-000
train0001,images/train0001.jpg,192,81,top,2019-08-05,2019-08-05 16:49:13,whale001,whale001-000
train0002,images/train0002.jpg,625,183,top,2017-08-07,2017-08-07 22:12:19,whale002,whale002-000
train0003,images/train0003.jpg,673,237,top,2017-08-07,2017-08-07 20:40:59,whale003,whale003-000
train0004,images/train0004.jpg,461,166,top,2018-08-10,2018-08-10 21:45:30,whale004,whale004-000
train0005,images/train0005.jpg,365,137,top,2018-08-30,2018-08-30 00:15:02,whale005,whale005-000
train0006,images/train0006.jpg,341,1212,right,2017-08-03,2017-08-03 18:03:18,whale006,whale006-000
train0007,images/train0007.jpg,499,151,top,2018-08-10,2018-08-10 22:27:11,whale007,whale007-000
train0008,images/train0008.jpg,165,73,top,2019-08-26,2019-08-26 11:48:32,whale008,whale008-000
train0009,images/train0009.jpg,455,163,top,2019-08-29,2019-08-29 13:50:31,whale009,whale009-000
train0010,images/train0010.jpg,589,189,top,2018-08-30,2018-08-30 00:24:41,whale010,whale010-000
train0011,images/train0011.jpg,443,157,top,2019-08-26,2019-08-26 10:41:47,whale011,whale011-000
train0012,images/train0012.jpg,482,172,top,2018-08-10,2018-08-10 21:16:53,whale012,whale012-000
train0013,images/train0013.jpg,487,180,top,2019-08-31,2019-08-31 20:52:59,whale013,whale013-000
train0014,images/train0014.jpg,365,139,top,2019-08-31,2019-08-31 20:55:28,whale014,whale014-000
train0015,images/train0015.jpg,592,196,top,2019-08-29,2019-08-29 13:22:50,whale015,whale015-000
train0016,images/train0016.jpg,364,144,top,2017-08-04,2017-08-04 20:49:10,whale016,whale016-000
train0017,images/train0017.jpg,359,127,top,2017-08-05,2017-08-05 21:23:43,whale017,whale017-000
train0018,images/train0018.jpg,554,462,top,2017-08-05,2017-08-05 00:00:00,whale018,whale018-000
train0019,images/train0019.jpg,526,185,top,2019-08-29,2019-08-29 13:17:51,whale010,whale010-001
train0020,images/train0020.jpg,458,119,top,2017-08-03,2017-08-03 18:36:52,whale019,whale019-000
train0021,images/train0021.jpg,307,120,top,2017-08-05,2017-08-05 22:45:55,whale020,whale020-000
train0022,images/train0022.jpg,575,202,top,2018-08-29,2018-08-29 22:40:34,whale021,whale021-000
train0023,images/train0023.jpg,560,198,top,2019-08-28,2019-08-28 12:44:31,whale022,whale022-000
train0024,images/train0024.jpg,545,258,top,2018-08-09,2018-08-09 18:54:11,whale022,whale022-001
